learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,8.604165895,5.396235603819288E-5,100.0,100.0,?,?,?,100.0,2.4242896E7
200.0,18.87364936,1.2266305886351095E-4,200.0,98.5,65.9863945578232,25.0,50.0,200.0,2.5859192E7
300.0,30.086196301,1.977144528786108E-4,300.0,99.0,66.21621621621627,24.99999999999979,50.0,300.0,2.58736E7
400.0,41.335052262,2.7302876371750734E-4,400.0,99.25,66.32996632996662,25.000000000000554,50.00000000000037,400.0,2.5880432E7
500.0,52.617384628,3.485822927579114E-4,500.0,99.0,54.145267791636165,16.666666666666664,37.5,500.0,2.58856E7
600.0,63.976695481,4.2467040727009486E-4,600.0,98.66666666666667,42.3076923076929,0.0,20.0000000000004,600.0,2.5892096E7
700.0,75.397288252,5.012119535211395E-4,700.0,97.28571428571429,28.800856531049252,-58.333333333333435,13.636363636363779,700.0,2.5906632E7
800.0,87.185009253,5.803525368667875E-4,800.0,85.125,5.16039051603899,-815.3846153846164,2.459016393442571,800.0,2.5952056E7
900.0,99.124633124,6.605669106627271E-4,900.0,78.0,2.8300343530181626,-607.1428571428576,1.4925373134328699,900.0,2.596952E7
1000.0,111.039027923,7.406413275450546E-4,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,1000.0,2.5979104E7
1100.0,123.068922374,8.215223953710919E-4,1100.0,70.72727272727273,1.5427380125086922,-235.41666666666666,0.9230769230769104,1100.0,2.5988872E7
1200.0,135.056161809,9.02139279902382E-4,1200.0,70.33333333333334,1.3873179289490187,-204.27350427350413,0.8356545961002979,1200.0,2.599616E7
1300.0,147.157191078,9.835364282622242E-4,1300.0,68.0,1.135262609458715,-232.79999999999998,0.7159904534606317,1300.0,2.6000952E7
1400.0,159.285081335,0.001065144878054722,1400.0,66.07142857142857,0.9561824193500471,-227.58620689655186,0.6276150627614976,1400.0,2.6010712E7
1500.0,171.460219626,0.0011470878142983746,1500.0,64.53333333333333,0.826446280991717,-197.20670391061466,0.5607476635514024,1500.0,2.6015968E7
1600.0,183.635820838,0.001229047725443822,1600.0,63.0625,0.7202402200617422,-165.02242152466366,0.5050505050504943,1600.0,2.6020368E7
1700.0,195.901837793,0.0013116272103490935,1700.0,61.76470588235294,0.6357513465879275,-170.8333333333332,0.4594180704441198,1700.0,2.6023816E7
1800.0,208.18929714,0.0013943863252634402,1800.0,61.38888888888889,0.9344314222362976,-144.71830985915489,0.7142857142857119,1800.0,2.6034912E7
1900.0,220.522832214,0.0014774667221973553,1900.0,60.31578947368421,2.213206063518439,-149.66887417218544,1.8229166666666667,1900.0,2.6038344E7
2000.0,232.84380636,0.001560473446294791,2000.0,60.45,2.5439599432266204,-136.82634730538913,2.103960396039619,2000.0,2.6041776E7
