learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.59635168,1.0176084938976501E-8,100.0,55.00000000000001,17.82322863403945,31.818181818181824,-36.36363636363637,100.0,65960.0
200.0,0.75968092,1.2970555219137007E-8,200.0,64.5,24.51626621305551,46.616541353383454,-5.97014925373135,200.0,66136.0
300.0,0.856996525,1.4636174014107222E-8,300.0,74.66666666666667,44.66019417475729,62.0,24.000000000000018,300.0,66160.0
400.0,0.949485625,1.6225309401398733E-8,400.0,69.75,30.674916924487228,54.51127819548872,9.022556390977451,400.0,66416.0
500.0,1.040582563,1.7790901916271285E-8,500.0,68.8,25.120958451731788,53.012048192771076,6.024096385542141,500.0,66432.0
600.0,1.128394838,1.9300771140559683E-8,600.0,68.16666666666666,21.18294360385143,52.13032581453633,4.5000000000000036,600.0,66464.0
700.0,1.208902534,2.06873760252239E-8,700.0,67.57142857142857,17.977783283779313,51.182795698924735,2.991452991452994,700.0,66576.0
800.0,1.287038869,2.2034432036893237E-8,800.0,67.25,15.63559083261551,50.751879699248114,1.872659176029956,800.0,66640.0
900.0,1.355155645,2.320903464815683E-8,900.0,66.44444444444444,12.71676300578034,49.498327759197316,-0.6666666666666708,900.0,66656.0
1000.0,1.42512871,2.4416081473129908E-8,1000.0,66.2,11.07462890758601,49.09638554216868,-1.501501501501503,1000.0,66680.0
1100.0,1.48828641,2.5505692847799513E-8,1100.0,66.0909090909091,9.868548231200478,48.90410958904109,-1.9125683060109244,1100.0,66688.0
1200.0,1.5569177,2.6690304032942905E-8,1200.0,65.91666666666667,8.908685968819624,48.68255959849436,-2.249999999999985,1200.0,66720.0
1300.0,1.623947717,2.784810878094907E-8,1300.0,66.15384615384615,8.85420816296611,49.07407407407407,-1.6166281755196448,1300.0,66768.0
1400.0,1.695574195,2.9085752590776738E-8,1400.0,66.35714285714286,9.002086576358744,49.40923737916219,-0.8565310492505458,1400.0,66792.0
1500.0,1.769364521,3.0360938546051175E-8,1500.0,66.93333333333334,10.361445783132542,50.300601202404806,0.8000000000000116,1500.0,66800.0
