learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.789590062,6.348634326768419E-8,100.0,100.0,?,?,?,100.0,310800.0
200.0,1.215538057,1.0007308081037676E-7,200.0,98.5,65.9863945578232,25.0,50.0,200.0,332024.0
300.0,1.532900605,1.2734930846121785E-7,300.0,98.0,48.97959183673481,-50.00000000000042,0.0,300.0,332224.0
400.0,1.745663951,1.4563691276902748E-7,400.0,97.75,38.90020366598787,-124.99999999999945,-49.99999999999963,400.0,332248.0
500.0,1.958420066,1.639186116969006E-7,500.0,96.8,25.76095025983666,-166.66666666666669,-100.0,500.0,332152.0
600.0,2.208970421,1.8546604148135005E-7,600.0,96.66666666666667,31.818181818181962,-150.00000000000043,-99.99999999999933,600.0,332432.0
700.0,2.444624033,2.0578794441377538E-7,700.0,95.71428571428572,37.810945273631994,-150.0,-36.36363636363604,700.0,333344.0
800.0,2.639830516,2.2264607536099438E-7,800.0,95.0,80.39311798441251,-207.6923076923082,67.21311475409833,800.0,333824.0
900.0,2.81493184,2.377711760890939E-7,900.0,94.22222222222221,82.98317952745597,-85.71428571428596,74.12935323383083,900.0,333896.0
1000.0,3.014731594,2.5503177334514343E-7,1000.0,93.60000000000001,82.98189166910417,0.0,75.09727626459146,1000.0,333936.0
1100.0,3.261726851,2.763792781322429E-7,1100.0,88.54545454545455,70.76257778715326,-31.249999999999943,61.23076923076924,1100.0,334088.0
1200.0,3.46829488,2.942365535622111E-7,1200.0,87.08333333333333,66.89826020103078,-32.47863247863242,56.82451253481895,1200.0,334160.0
1300.0,3.667717992,3.114778201818073E-7,1300.0,84.23076923076923,60.51758263899588,-64.00000000000001,51.07398568019092,1300.0,334192.0
1400.0,3.861996396,3.282807306967283E-7,1400.0,83.07142857142857,59.12403723433089,-63.44827586206899,50.418410041841014,1400.0,334320.0
1500.0,3.997556582,3.400054521986739E-7,1500.0,80.93333333333334,54.759720332816606,-59.7765363128492,46.542056074766364,1500.0,334328.0
1600.0,4.196692469,3.572284807014735E-7,1600.0,79.4375,52.03574721818269,-47.53363228699545,44.61279461279462,1600.0,334320.0
1700.0,4.395479634,3.7442093723785135E-7,1700.0,79.23529411764706,52.60337850005213,-47.08333333333327,45.941807044410425,1700.0,334312.0
1800.0,4.58705044,3.909912566924799E-7,1800.0,79.61111111111111,53.95873989406189,-29.225352112676045,47.57142857142856,1800.0,334352.0
1900.0,4.773779262,4.0714198565543116E-7,1900.0,80.26315789473685,56.596270386046484,-24.172185430463557,51.171875000000014,1900.0,334336.0
2000.0,4.949655043,4.223532749652035E-7,2000.0,80.80000000000001,57.897691390077895,-14.970059880239464,52.47524752475249,2000.0,334320.0
2100.0,5.107816289,4.360308183340356E-7,2100.0,81.47619047619048,60.30936250102034,-4.851752021563339,55.89569160997734,2100.0,334280.0
2200.0,5.265452109,4.496609661996572E-7,2200.0,82.0,62.10641694250283,0.5025125628140429,58.53403141361255,2200.0,334232.0
2300.0,5.377868724,4.593818856628819E-7,2300.0,82.30434782608695,63.06277867655763,0.0,59.901477832512306,2300.0,334256.0
2400.0,5.487247783,4.6883968803187214E-7,2400.0,82.79166666666666,64.25635033969448,4.176334106728512,61.32958801498126,2400.0,334240.0
2500.0,5.599755251,4.785672995294051E-7,2500.0,83.24000000000001,65.29250384350316,8.714596949891076,62.52236135957068,2500.0,334216.0
2600.0,5.706532197,4.87800544033299E-7,2600.0,83.65384615384616,66.72484548885268,7.40740740740742,65.10673234811166,2600.0,334256.0
2700.0,5.813932909,4.970863933340544E-7,2700.0,84.03703703703704,67.89538037780656,6.100217864923742,67.298937784522,2700.0,334208.0
2800.0,5.925940565,5.067700946922601E-7,2800.0,84.28571428571429,68.6508889712199,4.139433551198255,68.16208393632417,2800.0,334192.0
2900.0,6.027637565,5.15562170498868E-7,2900.0,84.72413793103448,69.67289119538901,3.4858387799564063,67.94500723589,2900.0,334184.0
3000.0,6.133520214,5.24715453490437E-7,3000.0,85.13333333333334,70.5477847883931,2.8322440087146474,67.72793053545587,3000.0,334160.0
3100.0,6.234641896,5.334561167058101E-7,3100.0,85.61290322580645,71.48897419696486,2.8322440087145706,67.72793053545585,3100.0,334120.0
